0,1,2,3,4,5
"Asus EK342WS Laptop (11th Gen Intel Core i3-1115G4/8GB/256GB SSD/Intel UHD Graphics/Windows 11/MSO/Full HD), 35.56 cm (14 inch)",Intel Core i3-1115G4, 8GB, Windows 11,256 gb ssd,32990
"Asus HZ176TS ROG Zephyrus G14 Gaming Laptop (AMD Ryzen 9-5900HS Processor/16GB/512GB SSD/4GB Nvidia GeForce RTX 3050Ti Graphics/Windows 10/MSO/Full HD), 35.56 cm (14 inch)",Free upgrade to Windows 11* when available, 16 GB, Windows 10 Home,512 gb ssd,132499
"Lenovo W6IN IdeaPad Flex 5 Convertible Laptop (11th Gen Intel Core i3-1115G4/8GB/512GB SSD/Intel UHD Graphics/Windows 11/MSO/Full HD), 35.56 cm (14 inch)",11th Gen Intel Core i3-1115G4 Processor, 8 GB, Windows 11,512 gb ssd,61990
"Lenovo 7KIN IdeaPad 3 Laptop (AMD Ryzen 5-5500U/8GB/512GB SSD/AMD Radeon Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",AMD Ryzen 5-5500U Processor, 8 GB, Windows 11,512 gb ssd,46990
"Asus EB572WS X415 Laptop (11th Gen-Intel Core i5-1135G7/8GB/1TB HDD + 256GB SSD/Intel Iris Xe Graphics/Windows 11/MSO/FHD), 35.56 cm (14 inch)",11th Gen Intel Core i5-1135G7 Processor, 8 GB, Windows 11 Home,1tb + 256gb hybrid,49990
"Asus KA501WS TUF A17 ZenBook Duo Laptop (11th Gen-Intel Core i5-1135G7/8GB/512GB SSD//Windows 11/MSO/FHD), 35.56 cm (14 inch)",11th Gen Intel Core i5-1135G7 Processor, 8 GB, Windows 11,512 gb ssd,74990
"Dell 3400 Vostro 14 Laptop (11th Gen-Intel Core i3-1135G7/8GB/512GB SSD/2GB Nvidia MX230 Graphics/Windows 10/MSO/FHD), 35.56 cm (14 inch)",11th Gen Intel Core i5-1135G7 Processor, 8GB, Windows 10,512gb ssd,59499
"Lenovo 05IN IdeaPad 3 Laptop (11th Gen-Intel Core i5-1135G7/8 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11/MSO/Full HD), 39.62 cm (15.6 inch)",Intel Core i5-1135G7 11th Gen Processor, 8GB, Windows 11,512 gb ssd,50990
"Asus HF068WS TUF F15 Gaming Laptop (12th Gen Intel Core i7-12700H/16GB/1TB SSD/6GB NVIDIA GeForce RTX 3060 Graphics/Windows 11/ MSO/FHD), 39.62 cm (15.6 inch)",12th Gen Intel Core i7-12700H, 16 GB, Windows 11,1 tb ssd,118999
"Asus HX020W ROG Strix G17 Gaming Laptop (AMD Ryzen 7-6800H/16GB/512GB SSD/4GB NVIDIA GeForce RTX 3050 Graphics/Windows 11/FHD ), 43.94 cm (17.3 inch)",AMD Ryzen 7-6800H Mobile Processor, 16 GB, Windows 11,512 gb ssd,90990
"Lenovo D330 IdeaPad 1YIN 2-in-1 Convertible Laptop (Intel Celeron N4020/4GB/128 GB eMMC/Intel UHD 600 Graphics/Windows 10/HD), 25.65 cm (10.1 inch)",Intel Core N4020 Processor, 4GB, Windows 10,128 gb emmc,21797
"Lenovo 7KIN IdeaPad Slim 3i Laptop (Intel Celeron N4020/4GB/256GB/ Windows 11/MSO/HD), 35.56 cm (14 inch)",Intel Celeron N4020 Processor, 4 GB, Windows 11 Home,,26490
HP 15s-eq2143AU Laptop (AMD Ryzen 3 5300U/ 8 GB/512 GB SSD/AMD Radeon Graphics/Windows 11/MSO/FHD) 39.62 cm (15.6 inch),AMD Ryzen 3 5300U, 8 GB, Windows 11,512 gb ssd,40999
HP Pavilion 15-EG1000TX Laptop (11th Gen Intel Core i5-1155G7/16GB/512GB SSD/2 GB/Nvidia Geforce MX450 Graphics/Windows 11/MSO/FHD) 39.6 cm (15.6 inch),11th Gen Intel Core i5-1155G7, 16GB, Windows 10,512 gb ssd,67999
"Lenovo 22IN IdeaPad Slim 5i Laptop (11th Gen Intel Core i5-1135G7/16GB/512GB SSD/Intel Iris Xe Graphics/Windows 10/MSO/FHD), 39.62 cm (15.6 inch)",Free upgrade to Windows 11* when available, 16GB, Windows 10,512 gb ssd,69990
"Lenovo 3VIN IdeaPad Slim 5i Laptop (11th Gen Intel Core i5-1135G7/16GB/512GB SSD/2GB Nvidia GeForce MX450 Graphics/Windows 10/MSO/FHD), 39.62 cm (15.6 inch)",Free upgrade to Windows 11* when available, 16GB, Windows 10,512 gb ssd,76990
"AVITA A2INC44AMB Essential Laptop (Intel Celeron N4020/4GB/256GB SSD/Windows 10/FHD), 35.56 cm (14 inch)",Intel Celeron N4020 Processor, 4GB, Windows 10,256 gb ssd,22999
"HP 14s-er0503TU Laptop (10th Gen Intel Core i5-1035G1/8GB/512GB SSD/Intel UHD Graphics/Windows 10/MSO/Full HD), 35.6 cm (14 inch)",Free upgrade to Windows 11* when available, 8GB, Windows 10,512 gb ssd,49999
"HP 15-EC1048AX Pavilion Gaming Laptop (AMD Ryzen 5 4600H/8GB/1TB HDD + 256GB SSD/4GB Nvidia GeForce GTX 1650 Graphics/Windows 10//FHD), 39.62 cm (15.6 inch)",Hexa Core AMD Ryzen 5 4600H Processor, 8 GB, Windows 10,1 tb + 256 gb ssd hybrid,70997
"HP 15-dk1511TX Pavilion Gaming Laptop (10th Gen Intel Core i7-10870H/16GB/512GB SDD/4GB Nvidia GeForce GTX 1650Ti Graphics/Windows 10//FHD), 39.62 cm (15.6 inch)",Free upgrade to Windows 11* when available, 16GB, Windows 10,512 gb ssd,79999
